x angle0interp angle0integration angle1interp angle1integration angle2interp angle2integration angle3interp angle3integration angle4interp angle4integration angle5interp angle5integration angle6interp angle6integration angle7interp angle7integration 
2.002002002 -0.007760447316 -0.007760608493 -0.01028771359 -0.01028765383 -0.01662736772 -0.01662714509 -0.02331694778 -0.02331673263 -0.02619395009 -0.02619397364 -0.02331694778 -0.02331673263 -0.01662736772 -0.01662714509 -0.01028771359 -0.01028765383 
2.102102102 -0.006357064396 -0.00635693709 -0.008725277144 -0.008725466667 -0.01467788788 -0.01467797121 -0.02097534742 -0.02097521287 -0.02368863448 -0.02368859389 -0.02097534742 -0.02097521287 -0.01467788788 -0.01467797121 -0.008725277144 -0.008725466667 
2.202202202 -0.005185927751 -0.005186030937 -0.007391175283 -0.007391035284 -0.01294068121 -0.01294088583 -0.0188247522 -0.01882477959 -0.02136397391 -0.02136395489 -0.0188247522 -0.01882477959 -0.01294068121 -0.01294088583 -0.007391175283 -0.007391035284 
2.302302302 -0.004217909792 -0.004217951275 -0.006259219518 -0.00625926064 -0.01140333615 -0.01140315098 -0.01686585465 -0.016866006 -0.01922643333 -0.01922641889 -0.01686585465 -0.016866006 -0.01140333615 -0.01140315098 -0.006259219518 -0.00625926064 
2.402402402 -0.003423954216 -0.003423847576 -0.005304984415 -0.005305110233 -0.01004972651 -0.01004967539 -0.01509470489 -0.01509477657 -0.01727669951 -0.01727672237 -0.01509470489 -0.01509477657 -0.01004972651 -0.01004967539 -0.005304984415 -0.005305110233 
2.502502503 -0.002776800955 -0.002776864035 -0.004504637512 -0.004504566102 -0.008863918856 -0.008864006037 -0.01350328163 -0.01350323927 -0.01551090137 -0.01551088683 -0.01350328163 -0.01350323927 -0.008863918856 -0.008864006037 -0.004504637512 -0.004504566102 
2.602602603 -0.002252618552 -0.002252708102 -0.003835351173 -0.003835288528 -0.007829057671 -0.00782917695 -0.01208084551 -0.0120807723 -0.01392123731 -0.01392121356 -0.01208084551 -0.0120807723 -0.007829057671 -0.00782917695 -0.003835351173 -0.003835288528 
2.702702703 -0.001830006414 -0.001829935341 -0.003276978826 -0.003277028032 -0.006928414638 -0.006928397269 -0.01081497447 -0.01081489999 -0.01249727685 -0.01249727852 -0.01081497447 -0.01081489999 -0.006928414638 -0.006928397269 -0.003276978826 -0.003277028032 
2.802802803 -0.001490061439 -0.001490011042 -0.002811731051 -0.002811827579 -0.006145653167 -0.006145575445 -0.009692167793 -0.009692109999 -0.01122684955 -0.01122686107 -0.009692167793 -0.009692109999 -0.006145653167 -0.006145575445 -0.002811731051 -0.002811827579 
2.902902903 -0.001217151464 -0.001217208279 -0.002424086122 -0.00242406019 -0.005465731881 -0.005465688291 -0.008698577257 -0.008698542207 -0.01009674776 -0.01009676073 -0.008698577257 -0.008698542207 -0.005465731881 -0.005465688291 -0.002424086122 -0.00242406019 
3.003003003 -0.0009983503395 -0.0009983965771 -0.002100401358 -0.00210034602 -0.004875015874 -0.004875012003 -0.007820543547 -0.007820536242 -0.009093459101 -0.009093475676 -0.007820543547 -0.007820536242 -0.004875015874 -0.004875012003 -0.002100401358 -0.00210034602 
3.103103103 -0.0008227922993 -0.0008227669429 -0.001829403881 -0.001829388536 -0.004361199694 -0.004361237316 -0.007045030179 -0.007045038576 -0.008203725682 -0.008203733908 -0.007045030179 -0.007045038576 -0.004361199694 -0.004361237316 -0.001829403881 -0.001829388536 
3.203203203 -0.000681588646 -0.0006815293891 -0.001601759684 -0.001601763243 -0.003913463629 -0.003913492928 -0.006359858985 -0.006359880156 -0.007414870791 -0.007414881487 -0.006359858985 -0.006359880156 -0.003913463629 -0.003913492928 -0.001601759684 -0.001601763243 
3.303303303 -0.0005676435937 -0.000567609567 -0.001409675343 -0.001409685405 -0.00352229686 -0.003522300971 -0.005753915076 -0.005753942194 -0.006715157929 -0.006715141968 -0.005753915076 -0.005753942194 -0.00352229686 -0.003522300971 -0.001409675343 -0.001409685405 
3.403403403 -0.0004753693894 -0.000475362504 -0.001246769225 -0.001246776328 -0.003179482963 -0.003179486072 -0.005217196508 -0.005217230935 -0.006093769597 -0.006093766623 -0.005217196508 -0.005217230935 -0.003179482963 -0.003179486072 -0.001246769225 -0.001246776328 
