t,Co,CoErr,Inco,IncoErr,Color,ColorErr,Hotspot,HotspotErr
1e-06,0.09980208506189067,2.46842184048482e-09,0.0025672803283701686,3.5697008402785345e-05,0.0025672803281679693,3.569700823209565e-05,2.0219936835985663e-13,3.4908770952669533e-09
0.0001,0.09974519139416642,2.2360354003639073e-07,0.0025657923619894735,3.567453622941206e-05,0.002565790972671882,3.5673134585194737e-05,1.3893175915269396e-09,3.1623416990708155e-07
0.0016,0.09888878923656477,3.540344374805226e-06,0.0025434489684561783,3.5735454678039525e-05,0.002543095383910161,3.538257835519026e-05,3.535845460173048e-07,5.009577825030615e-06
0.0064,0.09621661743987005,1.3687685260175668e-05,0.0024778823265407686,3.953983960045555e-05,0.0024723757618789074,3.445329404492158e-05,5.5065646618612796e-06,1.9400243428470788e-05
0.0144,0.0919814628254447,2.9124877253835276e-05,0.0023892271826685377,5.294946038691281e-05,0.0023625492061367212,3.301745019225187e-05,2.6677976531816472e-05,4.139436360263817e-05
0.04000000000000001,0.08002415439759943,6.810978771812113e-05,0.002243494684496318,0.00010187121450387125,0.002063734709730465,2.9005804418264693e-05,0.00017975997476585293,9.76545321761521e-05
0.09,0.06199239725306029,0.00011214193403498618,0.0023550986976058406,0.00016508701710530324,0.0016442073142539089,2.3104751450291414e-05,0.0007108913833519317,0.0001634622087124328
0.16000000000000003,0.04449892717873294,0.0001343794091134385,0.002905059414807974,0.00020075686689477869,0.00126927142635664,1.7538179664110975e-05,0.0016357879884513343,0.000199989329364037
0.25,0.029917802222401618,0.00013361677058222065,0.0037224825873090556,0.00020356076809978593,0.0009747361936335965,1.29837870718024e-05,0.0027477463936754626,0.0002031462713973577
0.36,0.01896128969630024,0.00011800804655709138,0.004500568178196398,0.00018279207585999521,0.0007576101207226555,9.55748349114077e-06,0.003742958057473742,0.00018254204312027086
0.48999999999999994,0.011371067173640791,9.629747746726846e-05,0.004988892325230869,0.00015065046906009895,0.0006010911070441398,7.105511250406772e-06,0.004387801218186729,0.00015048280811407722
0.6400000000000001,0.0064643181217996495,7.424462564529778e-05,0.005085386822405695,0.00011658572034357595,0.000488660473067968,5.430933366628424e-06,0.004596726349337727,0.00011645915657773647
0.81,0.0034881505641583288,5.504968153135318e-05,0.0048283479307259305,8.641919370877451e-05,0.00040771985674843724,4.334880438566564e-06,0.004420628073977494,8.631040408234703e-05
1.0,0.0017868974551441775,4.015963385647663e-05,0.004326171345647669,6.26836947792107e-05,0.00034823919355937526,3.6464201905364947e-06,0.003977932152088293,6.257754558120103e-05
1.2100000000000002,0.0008684098007031564,2.961101396825186e-05,0.0036981584583852083,4.548027639974564e-05,0.0003025338566199227,3.2082322308236767e-06,0.003395624601765286,4.536697904148307e-05
1.44,0.0003995647418364529,2.2242028224269247e-05,0.003043685175108007,3.334326176588999e-05,0.0002677987775925774,2.931524039891081e-06,0.00277588639751543,3.321414265026575e-05
1.6900000000000002,0.00017341111602564357,1.674252990492673e-05,0.002429151489327167,2.456323008165991e-05,0.00024151050808945285,2.7561842788448314e-06,0.002187640981237714,2.4408107674820077e-05
1.9599999999999997,7.060497148487329e-05,1.2412554886232476e-05,0.0018889570571582251,1.8019168231454054e-05,0.00021854081751523387,2.6032371753711785e-06,0.001670416239642991,1.7830131237941254e-05
2.25,2.6827318698165652e-05,9.009215033437357e-06,0.0014413744945569729,1.3113949079829256e-05,0.00020027981877890672,2.4811482640636295e-06,0.0012410946757780662,1.2877094538757128e-05
2.5600000000000005,9.550803439439585e-06,6.428324069577756e-06,0.0010856165874625662,9.484978381241391e-06,0.0001849211111051168,2.3683554067163174e-06,0.0009006954763574494,9.184536327985977e-06
2.8899999999999997,3.3379447895038626e-06,4.557185937323815e-06,0.0008120260284794255,6.869166926186066e-06,0.00017143123746734399,2.255615784976184e-06,0.0006405947910120815,6.488270315760188e-06
3.24,1.3454021937709585e-06,3.222777789752523e-06,0.0006064471112473258,5.0213665068147e-06,0.00015872826369390635,2.1308174795002966e-06,0.00044771884755341954,4.5468382932337135e-06
4.0,5.926155974085947e-07,1.548271550058113e-06,0.00034922332465512967,2.8849041960065146e-06,0.00013989947697031223,1.9249825656984316e-06,0.00020932384768481744,2.1487471563432205e-06
5.289999999999999,2.7842611791284607e-07,4.850391222246726e-07,0.00017756490693809397,1.7513547468460456e-06,0.00011665880312085933,1.62623277088753e-06,6.0906103817234624e-05,6.50084936136535e-07
9.0,9.668548535750258e-09,1.680591104350183e-08,7.810684751947421e-05,1.0723434644912414e-06,7.605589679480476e-05,1.072109923107152e-06,2.0509507246694554e-06,2.2378977015386288e-08
