t Inco IncoErrStat IncoErrSys
2.43 5.10 0.29 0.64
3.45 3.08 0.23 0.39
4.46 1.47 0.15 0.18
5.47 0.87 0.12 0.11
6.47 0.610 0.099 0.074
7.92 0.285 0.046 0.034
10.4 0.151 0.026 0.017
13.4 0.093 0.020 0.010
17.7 0.0236 0.0067 0.0027
25.0 0.0045 0.0023 0.0005
