t,Co,CoErr,Inco,IncoErr,Color,ColorErr,Hotspot,HotspotErr
1e-06,0.09651296944218345,4.196482307298473e-06,0.0022427101321290496,2.86107277970249e-05,0.0022415916736093747,2.7988439872205897e-05,1.1184585196749586e-06,5.934726497098953e-06
0.0001,0.096457454077989,4.115849030019345e-06,0.002241213936757761,2.8577465341964663e-05,0.0022401389266093756,2.797840612721842e-05,1.0750101483852914e-06,5.820680024844035e-06
0.0016,0.09562175550558188,4.254111657710366e-06,0.0022210987312288972,2.837950543826734e-05,0.002220355346539064,2.773474725773048e-05,7.433846898330376e-07,6.0149915602980835e-06
0.0064,0.09301464338618945,1.2326733792715562e-05,0.0021627327270895874,3.216111397762968e-05,0.0021590778450351522,2.7008989017629214e-05,3.6548820544352045e-06,1.7460004711559267e-05
0.0144,0.08888400259181672,2.7053805033072004e-05,0.002084434326684382,4.6322650504597516e-05,0.0020635129383203116,2.5860347895502255e-05,2.0921388364070204e-05,3.8432152639354987e-05
0.04000000000000001,0.0772316801192221,6.49027521316749e-05,0.0019646708484232344,9.574340785808381e-05,0.0018043021290664026,2.2676685374243356e-05,0.00016036871935683206,9.301918129459624e-05
0.09,0.059691184495764056,0.00010766330483476537,0.002104021664051694,0.0001579073186566384,0.0014420260026718767,1.800623796059488e-05,0.0006619956613798175,0.000156877330037949
0.16000000000000003,0.04271863383925352,0.0001291084766909387,0.002664534441893192,0.00019256633272986962,0.0011197536240101572,1.3645335547230208e-05,0.0015447808178830347,0.00019208226705980528
0.25,0.028616286847590718,0.00012817133463167646,0.0034759573881068305,0.00019507054719261542,0.0008674342921203116,1.01121398511844e-05,0.002608523095986519,0.00019480827243640477
0.36,0.0180580082090079,0.0001128950894950797,0.004240063211072266,0.00017473482409585296,0.0006809669797015613,7.478672520707868e-06,0.003559096231370705,0.00017457470667063053
0.48999999999999994,0.010773852660097514,9.181865522009054e-05,0.004717444674782005,0.00014352842963506277,0.0005459128282871092,5.623225513624203e-06,0.004171531846494896,0.00014341823262169315
0.6400000000000001,0.006087228767338273,7.052166026747943e-05,0.004813064463095596,0.0001106349975650584,0.0004480876800835935,4.374097651540093e-06,0.004364976783012002,0.00011054849594614696
0.81,0.003260220819463925,5.207285579064715e-05,0.004566867262741844,8.165402740953265e-05,0.0003765796395792973,3.5736791260042416e-06,0.004190287623162547,8.157578690825526e-05
1.0,0.0016547869046346477,3.78389304632776e-05,0.004085972274852666,5.89791389618467e-05,0.00032335405627421807,3.0682194032282753e-06,0.0037626182185784476,5.889927726529823e-05
1.2100000000000002,0.000794903815825748,2.781904013991571e-05,0.0034862948609332713,4.264741849488371e-05,0.0002820026645574216,2.7522381865732934e-06,0.0032042921963758493,4.2558518409856765e-05
1.44,0.00036030432528779793,2.0857535413048892e-05,0.0028630837809442092,3.118964253454557e-05,0.00025014050376367177,2.543562490863029e-06,0.0026129432771805376,3.108575383174435e-05
1.6900000000000002,0.0001533059801901065,1.567387296835182e-05,0.0022793073628156004,2.2926970171108235e-05,0.00022545364379101542,2.3955474551999714e-06,0.0020538537190245855,2.280147612802232e-05
1.9599999999999997,6.07709114419579e-05,1.1597148521121124e-05,0.001768114277765825,1.6779155468434004e-05,0.00020414221011562475,2.2651513020343888e-06,0.0015639720676502002,1.6625557067742742e-05
2.25,2.2264190190743965e-05,8.397253389133743e-06,0.0013456457894622416,1.2173406095629644e-05,0.00018695943484843726,2.147619706201331e-06,0.0011586863546138044,1.1982468258528736e-05
2.5600000000000005,7.566816119482111e-06,5.975153734477917e-06,0.001010801876878774,8.767325850265177e-06,0.00017241408408566448,2.0416649261551535e-06,0.0008383877927931096,8.52628916317268e-06
2.8899999999999997,2.5478254867048643e-06,4.223645166271963e-06,0.0007540236412812907,6.311288927199022e-06,0.00015958661517597667,1.934506194502408e-06,0.0005944370261053139,6.0074997882660625e-06
3.24,1.070017056979278e-06,2.9780878950616358e-06,0.0005618262648968242,4.577697893033862e-06,0.00014770062608988283,1.8252005819319364e-06,0.0004141256388069413,4.1980901414336e-06
4.0,5.843895184903922e-07,1.4203482005501664e-06,0.00032188234367516537,2.560500660516411e-06,0.00012958617676183586,1.6347404740640586e-06,0.00019229616691332952,1.9707326594345046e-06
5.289999999999999,2.792609326563734e-07,4.401081265574131e-07,0.000162944890690606,1.4944860201598958e-06,0.00010767052714749986,1.3731903613850488e-06,5.5274363543106155e-05,5.89776818680222e-07
9.0,8.497627284970217e-09,1.4473966699892002e-08,7.183117456238981e-05,9.030378621994719e-07,7.007091773957028e-05,9.028325903434004e-07,1.7602568228195295e-06,1.925342513991289e-08
